train_epoch,3.1.1(RNN+SGD),3.1.2(RNN+SGD),3.1.3(RNN+SGD),3.1.4(RNN+ADAM),3.1.5(RNN+ADAM),3.2.1(GRU+ADAM),3.2.2(GRU+SGD),3.2.3(GRU+ADAM),3.3.1(GRU+ADAM),3.3.2(GRU+ADAM),3.3.3(GRU+ADAM),3.4.1(TF+ADAM),3.4.2(TF+ADAM),3.4.3(TF+ADAM),3.4.4(TF+ADAM)
Epoch #00,1134.33,697.9,37300.23,463.42,1036.8,590.17,1132.53,348.58,918.77,529.76,588.13,708.71,735.34,489.2,479.33
Epoch #01,779.68,420.83,263460.34,223.11,559.04,261.7,514.97,194.52,546.66,198.3,301.24,285.79,280.81,226.8,208.18
Epoch #02,654.86,333.63,7594028.49,173.19,443.94,200.73,365.7,151.65,452.2,141.71,230.34,213.28,208.74,165.31,150.81
Epoch #03,570.55,288.87,7502243.61,147.66,380.4,167.94,293.23,127.75,400.34,110.29,192.43,175.88,172.79,133.68,120.54
Epoch #04,508.63,258.8,3824950.2,129.63,336.46,146.37,250.71,112.42,369.18,89.57,168.45,151.63,149.61,112.9,100.02
Epoch #05,463.08,237.11,40573017.71,116.79,305.77,130.72,220.82,101.64,345.4,74.27,151.23,133.66,132.78,97.62,84.79
Epoch #06,426.9,220.19,65929105.43,106.38,284.12,118.91,198.56,93.91,327.8,62.37,137.93,119.66,119.47,85.67,72.91
Epoch #07,396.32,206.54,105913150.98,97.91,267.53,109.17,181.16,87.7,313.7,52.99,127.45,108.18,108.5,75.93,63.31
Epoch #08,370.27,195.33,1090878490.05,90.48,253.31,101.39,167.33,82.81,301.47,45.27,118.85,98.6,99.2,67.98,55.34
Epoch #09,349.05,185.48,8713889.63,84.54,241.41,95.07,155.94,78.69,291.34,39.06,111.73,90.56,91.26,61.14,48.58
Epoch #10,331.54,177.02,32024260.82,79.55,231.22,90.03,146.27,76.22,282.54,34.09,105.96,83.46,84.33,55.29,42.84
Epoch #11,316.45,169.77,22583638.15,75.23,222.17,85.31,138.24,72.4,274.9,30.17,100.84,77.22,78.25,50.17,37.89
Epoch #12,303.05,163.13,34243427.18,71.4,214.15,81.4,130.82,69.97,267.71,27.02,96.41,71.73,72.81,45.7,33.59
